Species,Tlength_mm,Blength_mm,Wt_g,Habitat,Locomotion,Order,Family,Genus,Prehensility
Petrogale_concinna,265,320,1330,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
Petrogale_brachyotis,444.25,468.75,3925,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
Petrogale_rothschildi,609,528.25,5150,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
Petrogale_purpureicollis,512.75,503.75,4700,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
Petrogale_lateralis,534.5,485.5,4125,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
Petrogale_herberti,562.75,538.25,5075,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
Petrogale_penicillata,585,548.75,7375,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
Petrogale_assimilis,487.25,513.75,4500,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
Petrogale_godmani,545,524.5,4750,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
Petrogale_coenensis,498.75,513.75,4375,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
Petrogale_mareeba,458,474.5,4150,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
Petrogale_sharmani,487.25,487.5,4250,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
Petrogale_inornata,530,522.75,4275,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
