Species,Bl_mm,Tl_mm,Wt_g,Bl_min,Bl_max,Tl_min,Tl_max,Wt_min,Wt_max,Bl_min_M,Bl_max_M,Bl_min_F,Bl_max_F,Tl_min_M,Tl_max_M,Tl_min_F,Tl_max_F,Wt_min_M,Wt_max_M,Wt_min_F,Wt_max_F,Bl_Av_M,Bl_Av_F,Tl_Av_M,Tl_Av_F,Wt_Av_M,Wt_Av_F,Locomotor_use,Clade
Burramys_parvus,,,,,,,,,,,,,,,,,,30,75,30,82,110,111,138,136,41,42,Arboreal,Phalangeroid
Caloprymnus_campestris,,,,,,,,,,255,282,254,277,297,333,310,377,637,850,743,1060,268,267,314,335,797,981,Saltatorial,Macropod
Cercartetus_caudatus,106,135,30,103,108,128,151,25,40,,,,,,,,,,,,,,,,,,,Arboreal,Phalangeroid
Cercartetus_concinnus,81,86,13,64,106,53,101,8,21,,,,,,,,,,,,,,,,,,,Arboreal,Phalangeroid
Cercartetus_lepidus,64,71,8,50,73,60,75,6,10,,,,,,,,,,,,,,,,,,,Arboreal,Phalangeroid
Cercartetus_nanus,91,89,24,70,110,75,105,15,43,,,,,,,,,,,,,,,,,,,Arboreal,Phalangeroid
Dactylopsila_trivirgata,262,345,,,,,,,,,,,,,,,,428,525,310,475,,,,,468,435,Arboreal,Phalangeroid
Dendrolagus_bennettianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pentapedal,Macropod
Dendrolagus_lumholtzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pentapedal,Macropod
Gymnobelideus_leadbeateri,160,172,127.5,150,170,145,180,100,166,,,,,,,,,,,,,,,,,,,Arboreal,Petauroid
Hemibelideus_lemuroides,,,,,,,,,,315,360,313,400,314,384,230,384,810,1080,850,1170,344,342,346,352,926,1023,Arboreal,Petauroid
Hypsiprymnodon_moschatus,,,,,,,,,,153,273,212,252,132,159,123,153,360,680,453,635,230,233,145,140,529,511,Terrestrial,Macropod
Lagorchestes_conspicillatus,,,,390,490,370,530,1600,4750,,,,,,,,,,,,,,,,,,,Saltatorial,Macropod
Lagorchestes_hirsutus,,,,,,,,,,310,360,360,390,260,280,245,305,1245,1800,780,1960,330,375,270,275,1580,1740,Saltatorial,Macropod
Lagorchestes_leporides,450,320,,,,,,,,,,,,,,,,,,,,,,,,,,Saltatorial,Macropod
Lagostrophus_fasciatus,430,320,1600,400,450,230,360,1000,2300,,,,,,,,,,,,,,,,,,,Saltatorial,Macropod
Lasiorhinus_latifrons,,,,,,,,,,840,1110,850,1100,30,60,25,54,19000,36000,17500,36000,,,,,,,Terrestrial,Vombatiform
Macropus_agilis,,,,,,,,,,715,850,593,722,692,840,587,700,16000,27000,9000,15000,800,650,770,640,19000,11000,Pentapedal,Macropod
Macropus_antilopinus,,,,,,,,,,830,1200,733,935,745,960,664,813,18600,51000,14000,24500,,,,,,,Pentapedal,Macropod
Macropus_dorsalis,,,,,,,,,,616,820,481,617,656,832,521,619,8700,21000,5200,7600,730,522,698,572,14000,6100,Pentapedal,Macropod
Macropus_eugenii,,,,,,,,,,590,680,520,630,380,450,330,440,6000,10000,4000,6000,643,586,411,379,7500,5500,Pentapedal,Macropod
Macropus_fuliginosus,,,,,,,,,,946,2225,971,1746,425,1000,443,815,18000,72000,17000,39000,,,,,,,Pentapedal,Macropod
Macropus_giganteus,,,,,,,,,,972,2302,958,1857,430,1090,446,842,19000,85000,17000,42000,,,,,,,Pentapedal,Macropod
Macropus_irma,1200,720,8000,,,540,970,7000,9000,,,,,,,,,,,,,,,,,,,Pentapedal,Macropod
Macropus_parma,,,,,,,,,,482,528,447,527,489,544,405,507,4100,5900,3200,4800,,,,,,,Pentapedal,Macropod
Macropus_parryi,,,,,,,,,,736,1003,610,879,861,1045,728,858,14000,26000,7000,15000,845,695,941,781,16000,11000,Pentapedal,Macropod
Macropus_robustus,,,,,,,,,,587,1085,573,831,551,901,534,749,7250,60000,6250,28000,,,,,,,Pentapedal,Macropod
Macropus_rufogriseus,,,,,,,,,,770,888,708,837,703,876,664,790,15000,23700,12000,15500,823,772,797,720,18600,13800,Pentapedal,Macropod
Macropus_rufus,,,,,,,,,,935,1400,745,1100,710,1000,645,900,22000,92000,17000,39000,1150,1000,880,820,55000,25000,Pentapedal,Macropod
Macropus_bernardus,,,,,,,,,,595,725,,,545,640,,,19000,22000,,,683,646,609,575,21000,13000,Pentapedal,Macropod
Macropus_greyi,,,,,,,,,,,,,,,,,,,,,,810,840,730,710,,,Pentapedal,Macropod
Onychogalea_fraenata,,,,,,,,,,510,700,430,540,380,540,360,440,5000,8000,4000,6000,,,,,,,Pentapedal,Macropod
Onychogalea_unguifera,,,,,,,,,,540,690,490,600,600,730,600,650,6000,9000,4500,7000,600,570,660,630,7500,5800,Pentapedal,Macropod
Onychogalea_lunata,,,3500,371,508,153,330,,,,,,,,,,,,,,,,,,,,,Pentapedal,Macropod
Petauroides_volans,,,,350,460,450,600,900,1700,,,,,,,,,,,,,,,,,,,Arboreal,Petauroid
Petaurus_australis,,,,,,,,,,260,300,240,310,390,460,380,470,470,725,435,660,280,270,420,430,595,520,Arboreal,Petauroid
Petaurus_breviceps,170,190,,160,210,165,210,,,,,,,,,,,115,160,95,135,,,,,140,115,Arboreal,Petauroid
Petaurus_gracilis,,,,,,,,,,230,275,225,270,335,395,245,405,330,500,310,454,254,248,370,377,407,365,Arboreal,Petauroid
Petaurus_norfolcensis,210,270,230,180,230,220,300,190,300,,,,,,,,,,,,,,,,,,,Arboreal,Petauroid
