Species,Tlength_mm,Blength_mm,Wt_g,Tl_max,Bl_max,Wt_max,Tl_min,Bl_min,Wt_min,Tl_M,Bl_M,Wt_M,Tl_F,B_F,Wt+F,Locomotor_mode,Prehensility,Habitat
Gymnobelideus_leadbeateri,162.5,160,130.25,180,170,150.5,145,150,110,NA,NA,NA,NA,NA,NA,Arboreal,Yes,Forest_shrub
Pseudochirops_archeri,329,362.75,1186.25,355.5,401.5,1462.5,302.5,324,910,330,362,1140,328,363.5,1232.5,Arboreal,Yes,Rainforest
Petropseudes_dahli,243.25,360.75,1640,243,380,2000,203.5,341.5,1280,210,354.5,1640,236.5,367,1640,Scansorial,Yes,Rocky
Hemibelideus_lemuroides,328,347,977.5,384,380,1125,272,314,830,349,337.5,945,307,356.5,1010,Arboreal,Yes,Rainforest
Petauroides_volans,555,405,1300,660,460,1700,450,350,900,NA,NA,NA,NA,NA,NA,Arboreal,No,Forest_shrub
Pseudocheirus_peregrinus,325,325,800,350,350,900,300,300,700,NA,NA,NA,NA,NA,NA,Arboreal,Yes,Forest_shrub
Pseudochirulus_herbertensis,393.75,356.75,1086,440,388,1392.5,347.5,325.5,779.5,415,375,1182.5,372.5,338.5,989.5,Arboreal,Yes,Rainforest
Hypsiprymnodon_moschatus,141.75,222.5,532,156,262.5,657.5,127.5,182.5,406.5,145.5,213,520,138,232,544,Saltatorial,No,Rainforest
Potorous_longipes,397.5,320,1900,415,325,2000,380,315,1800,397.5,320,2100,397.5,320,1700,Saltatorial,No,Forest_shrub
Potorous_tridactylus,229.5,333.5,1097.5,258,394,1495,201,273,700,233,348.5,1190,226,318.5,1005,Saltatorial,No,Forest_shrub
Potorous_gilbertii,220.75,322.75,989.5,234,357,1202.5,207.5,288.5,776.5,223.5,328.5,1022.5,218,317,956.5,Saltatorial,No,Forest_shrub
Aepyprymnus_rufescens,358.25,397,2300,398.5,440,3000,318,354,1600,360.5,372.5,2450,356,421.5,2150,Saltatorial,No,Forest_shrub
Bettongia_tropica,312,369.25,1150,346.5,431,1350,277.5,307.5,950,315,375,1150,309,363.5,1150,Saltatorial,No,Forest_shrub
Bettongia_lesueur,285,360,1280,285,360,1280,285,360,1280,NA,NA,NA,NA,NA,NA,Saltatorial,No,Forest_shrub
Bettongia_gaimardi,316.5,323.5,1725,345,332,2250,288,315,1200,NA,NA,NA,NA,NA,NA,Saltatorial,No,Forest_shrub
Bettongia_penicillata,305,323.75,1181.25,360,357.5,1500,250,290,862.5,NA,NA,NA,NA,NA,NA,Saltatorial,No,Forest_shrub
Lagostrophus_fasciatus,295,425,1650,360,450,2300,230,400,1000,NA,NA,NA,NA,NA,NA,Saltatorial,No,Arid
Setonix_brachyurus,465,270,3000,520,297.5,3850,410,242.5,2150,485,280,3450,445,260,2550,Saltatorial,No,Arid
Onychogalea_fraenata,430,545,5750,490,620,7000,370,470,4500,460,605,6500,400,485,5000,Saltatorial,No,Arid
Onychogalea_unguifera,645,580,6625,690,645,8000,600,515,5250,665,615,7500,625,545,5750,Saltatorial,No,Arid
Lagorchestes_conspicillatus,450,440,3175,530,490,4750,370,390,1600,NA,NA,NA,NA,NA,NA,Saltatorial,No,Arid
Lagorchestes_hirsutus,272.5,355,1446.25,292.5,375,1880,252.5,335,1012.5,270,335,1522.5,275,375,1370,Saltatorial,No,Arid
Wallabia_bicolor,730,746.25,14625,795,798.5,17950,665,694,11300,776,785,16400,684,707.5,12850,Saltatorial,No,Forest_shrub
Macropus_giganteus,702,1522.25,40750,966,2079.5,63500,438,965,18000,760,1637,52000,644,1407.5,29500,Saltatorial,No,Arid
Macropus_fuliginosus,670.75,1472,36500,907.5,1985.5,55500,434,958.5,17500,712.5,1585.5,45000,629,1358.5,28000,Saltatorial,No,Arid
Macropus_rufus,813.75,1045,42500,950,1250,65500,677.5,840,19500,855,1167.5,57000,772.5,922.5,28000,Saltatorial,No,Arid
Macropus_antilopinus,795.5,924.5,27025,886.5,1067.5,37750,704.5,781.5,16300,852.5,1015,34800,738.5,834,19250,Saltatorial,No,Forest_shrub
Macropus_robustus,683.75,769,25375,825,958,44000,542.5,580,6750,726,836,33625,641.5,702,17125,Saltatorial,No,Rocky
Macropus_irma,755,1200,8000,970,1200,9000,540,1200,7000,755,1200,8000,755,1200,8000,Saltatorial,No,Arid
Macropus_rufogriseus,758.25,800.75,16550,833,862.5,19600,683.5,739,13500,789.5,829,19350,727,772.5,13750,Saltatorial,No,Forest_shrub
Macropus_dorsalis,657,633.5,10625,725.5,718.5,14300,588.5,548.5,6950,744,718,14850,570,549,6400,Saltatorial,No,Forest_shrub
Macropus_agilis,704.75,720,16750,770,786,21000,639.5,654,12500,766,782.5,21500,643.5,657.5,12000,Saltatorial,No,Arid
Macropus_eugenii,400,605,6500,445,655,8000,355,555,5000,415,635,8000,385,575,5000,Saltatorial,No,Arid
Macropus_parma,486.25,496,4500,525.5,527.5,5350,447,464.5,3650,516.5,505,5000,456,487,4000,Saltatorial,No,Forest_shrub
Macropus_parryi,873,807,15500,951.5,941,20500,794.5,673,10500,953,869.5,20000,793,744.5,11000,Saltatorial,No,Forest_shrub
Thylogale_billardierii,368.5,595,7050,368.5,595,11000,368.5,595,3100,417,630,7900,320,560,6200,Saltatorial,No,Forest_shrub
Thylogale_thetis,355,427.5,4425,440,560,6700,270,295,2150,390,460,5800,320,395,3050,Saltatorial,No,Rainforest
Thylogale_stigmatica,397.75,478,4300,459,528,5500,336.5,428,3100,422.5,503,5250,373,453,3350,Saltatorial,No,Rainforest
Dendrolagus_lumholtzi,666.25,581.25,7025,770,692.5,8800,562.5,470,5250,727.5,615,7625,605,547.5,6425,Arboreal,No,Rainforest
Dendrolagus_bennettianus,805,678.75,10525,835,727.5,12150,775,630,8900,830,735,12600,780,622.5,8450,Arboreal,No,Rainforest
Petrogale_persephone,612,563.5,6525,684.5,618,9150,539.5,509,3900,636.5,562.5,7250,587.5,564.5,5800,Saltatorial,No,Rocky
Petrogale_xanthopus,627.5,572.5,9000,687.5,625,12000,567.5,520,6000,635,565,9000,620,580,9000,Saltatorial,No,Rocky
Petrogale_burbidgei,277,329.5,1195,290,353,1430,264,306,960,NA,NA,NA,NA,NA,NA,Saltatorial,No,Rocky
Petrogale_concinna,265,320,1330,310,350,1600,220,290,1060,NA,NA,NA,NA,NA,NA,Saltatorial,No,Rocky
Petrogale_brachyotis,444.25,468.75,3925,535,517.5,5150,353.5,420,2700,468.5,492.5,4400,420,445,3450,Saltatorial,No,Rocky
Petrogale_rothschildi,609,528.25,5150,658.5,559,5950,559.5,497.5,4350,642,562,5800,576,494.5,4500,Saltatorial,No,Rocky
Petrogale_purpureicollis,512.75,503.75,4700,559,580.5,6400,466.5,427,3000,534,499,5200,491.5,508.5,4200,Saltatorial,No,Rocky
Petrogale_lateralis,534.5,485.5,4125,601.5,495.5,4800,467.5,475.5,3450,551.5,511,4650,517.5,460,3600,Saltatorial,No,Rocky
Petrogale_herberti,562.75,538.25,5075,615.5,590.5,5800,510,486,4350,585,558.5,5850,540.5,518,4300,Saltatorial,No,Rocky
Petrogale_penicillata,585,548.75,7375,665,578,9550,505,519.5,5200,605,557.5,8200,565,540,6550,Saltatorial,No,Rocky
Petrogale_assimilis,487.25,513.75,4500,547.5,570,4500,427,457.5,4500,477,530,4700,497.5,497.5,4300,Saltatorial,No,Rocky
Petrogale_godmani,545,524.5,4750,590,549,4750,500,500,4750,580,537.5,5200,510,511.5,4300,Saltatorial,No,Rocky
Petrogale_coenensis,498.75,513.75,4375,520,537.5,4600,477.5,490,4150,512.5,552.5,4650,485,475,4100,Saltatorial,No,Rocky
Petrogale_mareeba,458,474.5,4150,498.5,524,4150,417.5,425,4150,475,486.5,4500,441,462.5,3800,Saltatorial,No,Rocky
Petrogale_sharmani,487.25,487.5,4250,507,502.5,4250,467.5,472.5,4250,516,510,4400,458.5,465,4100,Saltatorial,No,Rocky
Petrogale_inornata,530,522.75,4275,600,565,5300,460,480.5,3250,565,538.5,4500,495,507,4050,Saltatorial,No,Rocky
Melomys_cervinipes,142.5,130,82.5,,,,,,,,,,,,,Both,NA,Rainforest
Melomys_rubicola,165,156.5,121,,,,,,,,,,,,,NA,NA,Forest/shrubland
Melomys_capensis,151.25,138.25,75.5,,,,,,,,,,,,,Both,NA,Rainforest
Melomys_burtoni,133.75,122.5,68.25,,,,,,,,,,,,,Terrestrial,NA,Forest/shrubland
Uromys_hadrourus,196.5,184,200,,,,,,,,,,,,,Terrestrial,NA,Rainforest
Uromys_caudimaculatus,345.5,331.25,672.5,,,,,,,,,,,,,Both,NA,Rainforest
Conilurus_penicillatus,168.5,181,165.5,,,,,,,,,,,,,Both,NA,Forest/shrubland
Conilurus_albipes,230,245,200,,,,,,,,,,,,,Both,NA,Forest/shrubland
Mesembriomys_macrurus,325.5,216.5,268.5,,,,,,,,,,,,,Both,NA,Rainforest
Mesembriomys_gouldii,364.5,275,735.5,,,,,,,,,,,,,Both,NA,Rainforest
Leporillus_apicalis,230,185,150,,,,,,,,,,,,,NA,NA,Arid
Leporillus_conditor,162.5,215,315,,,,,,,,,,,,,NA,NA,Arid
Pseudomys_australis,105,117.5,47.5,,,,,,,,,,,,,Terrestrial,NA,Arid
Pseudomys_occidentalis,130,100,43,,,,,,,,,,,,,NA,NA,Forest/shrubland
Pseudomys_oralis,137.5,127.5,88.75,,,,,,,,,,,,,NA,NA,Forest/shrubland
Pseudomys_patrius,70,65.5,14.5,,,,,,,,,,,,,NA,NA,Rocky
Pseudomys_shortridgei,92.5,105,72.5,,,,,,,,,,,,,NA,NA,Arid
Pseudomys_novaehollandiae,94,76.5,19.5,,,,,,,,,,,,,Terrestrial,NA,Forest/shrubland
Pseudomys_albocinereus,95.5,76.5,28.25,,,,,,,,,,,,,Terrestrial,NA,Arid
Pseudomys_apodemoides,100,72.5,19,,,,,,,,,,,,,NA,NA,Arid
Pseudomys_auritus,116.5,158.5,NA,,,,,,,,,,,,,NA,NA,Arid
Pseudomys_bolami,87,65,12.5,,,,,,,,,,,,,NA,NA,Forest/shrubland
Pseudomys_calabyi,78.75,78.5,16.125,,,,,,,,,,,,,Terrestrial,NA,Rocky
Pseudomys_chapmani,76,59.5,12.5,,,,,,,,,,,,,NA,NA,Rocky
Pseudomys_delicatulus,67.5,65,10.5,,,,,,,,,,,,,Terrestrial,NA,Arid
Pseudomys_desertor,85,87.5,23,,,,,,,,,,,,,NA,NA,Arid
Pseudomys_fieldi,120,100,45.5,,,,,,,,,,,,,NA,NA,Forest/shrubland
Pseudomys_fumeus,70,127.5,57,,,,,,,,,,,,,Terrestrial,NA,Forest/shrubland
Pseudomys_glaucus,100,95,27.5,,,,,,,,,,,,,NA,NA,Forest/shrubland
Pseudomys_gouldii,95,110,50,,,,,,,,,,,,,NA,NA,Arid
Pseudomys_gracilicaudatus,99,125.75,74.75,,,,,,,,,,,,,NA,NA,Forest/shrubland
Pseudomys_hermannburgensis,80,75,11.75,,,,,,,,,,,,,NA,NA,Arid
Pseudomys_higginsi,172.5,132.5,70,,,,,,,,,,,,,Terrestrial,NA,Rainforest
Pseudomys_johnsoni,79,67,13.5,,,,,,,,,,,,,Terrestrial,NA,Rocky
Pseudomys_nanus,98.5,100.5,37.625,,,,,,,,,,,,,NA,NA,Arid
Pseudomys_pilligaensis,75,76.5,12,,,,,,,,,,,,,NA,NA,Forest/shrubland
Mastacomys_fuscus,115,158.5,121,,,,,,,,,,,,,Terrestrial,NA,Forest/shrubland
Notomys_mitchellii,147.5,112.5,50,,,,,,,,,,,,,Saltatorial,NA,Arid
Notomys_macrotis,132.5,117.5,45,,,,,,,,,,,,,Saltatorial,NA,Arid
Notomys_longicaudatus,168,133,100,,,,,,,,,,,,,Saltatorial,NA,Arid
Notomys_cervinus,132.5,107.5,40,,,,,,,,,,,,,Saltatorial,NA,Arid
Notomys_aquilo,165.5,101.5,39.5,,,,,,,,,,,,,Saltatorial,NA,Arid
Notomys_amplus,153,143,100,,,,,,,,,,,,,Saltatorial,NA,Arid
Notomys_alexis,140.5,103.5,36,,,,,,,,,,,,,Saltatorial,NA,Arid
Notomys_fuscus,135,95.5,40.5,,,,,,,,,,,,,Saltatorial,NA,Arid
Zyzomys_palatalis,126,121,113,,,,,,,,,,,,,NA,NA,Rocky
Zyzomys_maini,150,142.5,127.5,,,,,,,,,,,,,Terrestrial,NA,Rocky
Zyzomys_woodwardi,120.5,143.5,135,,,,,,,,,,,,,NA,NA,Rocky
