"Species","Bl_mm","Tl_mm","Wt_g","Bl_min","Bl_max","Tl_min","Tl_max","Wt_min","Wt_max","Bl_min_M","Bl_max_M","Bl_min_F","Bl_max_F","Tl_min_M","Tl_max_M","Tl_min_F","Tl_max_F","Wt_min_M","Wt_max_M","Wt_min_F","Wt_max_F","Bl_Av_M","Bl_Av_F","Tl_Av_M","Tl_Av_F","Wt_Av_M","Wt_Av_F","Locomotor_use","Clade"
"Sminthopsis_ooldea",72,77.5,11,55,85,60,95,8,17,60,85,55,85,65,95,60,90,9,17,8,15,72,72,79,76,11,11,NA,"Dasyuromorph"
"Sminthopsis_psammophila",97,118,34.5,85,114,106,133,25,55,NA,NA,NA,NA,NA,NA,NA,NA,26,55,25,42,NA,NA,NA,NA,36,33,"Terrestrial","Dasyuromorph"
"Sminthopsis_virginiae",113.5,111.75,35.25,90,135,90,135,18,58,96,135,90,133,100,135,90,122,31,58,18,34,115.5,111.5,117.5,106,44.5,26,"Scansorial","Dasyuromorph"
"Sminthopsis_youngsoni",68.5,65.2,10.1,66,71,62,68,8.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Dasyuromorph"
"Thylacinus_cynocephalus",1150,575,25000,1000,1300,500,650,15000,35000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Dasyuromorph"
"Acrobates_frontalis",75,79,14.5,65,85,70,88,10,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arboreal","Petauroid"
"Acrobates_pygmaeus",68.5,73,11.5,60,77,65,81,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arboreal","Petauroid"
"Aepyprymnus_rufescens",381,348.5,2750,345,480,314,407,1300,3000,345,400,363,480,314,407,322,390,1900,3000,1300,3000,379,383,344,353,2700,2800,"Saltatorial","Macropod"
"Bettongia_gaimardi",323,326,1660,315,332,288,345,1200,2250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saltatorial","Macropod"
"Bettongia_lesueur",360,285,1280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saltatorial","Macropod"
